endTime,artistName,trackName,msPlayed
2023-11-29 20:04,Wako,Snart blir jeg far,63253
2023-11-29 20:08,Marc Copland,Flip Side,225653
2023-11-29 20:11,Søren Bebe Trio,Tango for T,230986
2023-11-29 20:14,Unknown Artist,Unknown Track,24597
2023-11-29 20:14,Unknown Artist,Unknown Track,2288
2023-11-29 20:15,Joachim Kühn,The Crystal Ship,199712
2023-11-29 20:17,Yaron Herman,Summertime,105640
2023-11-29 20:19,Dr. Gwon,Awakening (Tuning In),118847
2023-11-29 20:22,Enrico Rava,Drops,148920
2023-11-29 20:23,Anat Fort Trio,"Milarepa, Pt. 1",99626
2023-11-29 20:25,Cream,Tales Of Brave Ulysses,4321
2023-11-29 20:25,Tord Gustavsen Trio,The Other Side,129917
2023-11-29 20:29,Creedence Clearwater Revival,Run Through The Jungle,185106
2023-11-29 20:31,The Beatles,Norwegian Wood (This Bird Has Flown) - Remastered 2009,124693
2023-11-29 20:36,George Harrison,Wah-Wah (2014 Remaster),337750
2023-11-29 20:38,Yes,Siberian Khatru - 2003 Remaster,44370
2023-11-29 20:38,The Beatles,While My Guitar Gently Weeps - Remastered 2009,1708
2023-11-29 20:42,The Rolling Stones,Mess It Up,243687
2023-11-29 20:49,Chris Squire,Lucky Seven,414200
2023-11-29 20:53,Frank Zappa,Peaches En Regalia,218893
2023-11-29 21:00,The Rolling Stones,Sympathy For The Devil - 50th Anniversary Edition,378146
2023-11-29 21:09,Aerosmith,Sweet Emotion,274088
2023-11-29 21:12,The Rolling Stones,"Have You Seen Your Mother, Baby, Standing In The Shadow? - Mono Version",154000
2023-11-29 21:21,Ultimate Spinach,(BALLAD OF) THE HIP DEATH GODDESS,494933
2023-11-29 21:22,Jethro Tull,Aqualung,3378
2023-11-29 21:24,Kaleidoscope,Keep Your Mind Open,138400
2023-11-29 21:28,Rush,Leave That Thing Alone - 2004 Remaster,245826
2023-11-29 21:32,Arlo Guthrie,Coming into Los Angeles - Remastered,186506
2023-11-29 21:48,Jasper van't Hofs Pili Pili,Pili Pili,944133
2023-11-29 21:49,The Rolling Stones,Jumpin' Jack Flash,1568
2023-11-29 21:49,Spirit,Fresh-Garbage,3737
2023-11-29 21:49,Frank Zappa,Apostrophe',2170
2023-11-29 21:52,Kaleidoscope,Egyptian Garden,186266
2023-11-29 21:53,Tangerine Dream,Stratosfear,34014
2023-11-30 04:45,Pink Floyd,San Tropez - 2011 Remastered Version,6956
2023-11-30 04:46,Hasna el Becharia,Rabi-Lik,25446
2023-11-30 04:51,Dahmane El Harrachi,Ya rayah,277253
2023-11-30 04:51,Hasna el Becharia,"El lil lil, el lilibiya",3078
2023-11-30 04:55,Oum,Taragalte,7719
2023-11-30 04:55,Aziza Brahim,Baraka,231640
2023-11-30 05:01,Hasna el Becharia,Hakmet lakdar,351440
2023-11-30 05:03,Unknown Artist,Unknown Track,2574
2023-11-30 05:03,Unknown Artist,Unknown Track,1098
2023-11-30 05:03,David Bowie,Station to Station - 2016 Remaster,933
2023-11-30 05:03,The Doors,Peace Frog,1133
2023-11-30 05:04,Imarhan,Achinkad,9264
2023-11-30 05:04,Driss El Maloumi,Comme une joie,139240
2023-11-30 05:07,Mariem Hassan,Haiyu,202253
2023-11-30 05:11,Hasna el Becharia,Koul chi al Oualidine,247560
2023-11-30 05:15,Hamza El Din,Mwashah,224293
2023-11-30 05:16,Kel Assouf,Akaline,67500
2023-11-30 05:20,Howlin' Wolf,Do The Do,32575
2023-11-30 06:06,Howlin' Wolf,Do The Do,111294
2023-11-30 06:11,Howlin' Wolf,Rockin' Daddy,226893
2023-11-30 06:14,Howlin' Wolf,Sitting On Top Of The World,155360
